,Unnamed: 0,Original masks,+40%,+60%,-40%,FSL volumes
0,0,1738,1799,1852,1617,1190660.0
1,1,1776,1817,1833,1676,1190660.0
2,2,1762,1810,1819,1631,1190660.0
3,3,1717,1775,1783,1616,1190660.0
4,4,1645,1684,1702,1544,1190660.0
5,5,1576,1619,1637,1492,1190660.0
6,6,1547,1620,1649,1468,1190660.0
7,7,1556,1626,1651,1446,1190660.0
8,8,1438,1514,1563,1379,1190660.0
9,9,1332,1411,1437,1269,1190660.0
10,10,1186,1227,1247,1059,835359.0
11,11,1221,1255,1298,1170,835359.0
12,12,1284,1328,1369,1231,835359.0
13,13,1287,1318,1340,1227,835359.0
14,14,1270,1326,1345,1170,835359.0
15,15,1270,1322,1337,1167,835359.0
16,16,1251,1304,1328,1182,835359.0
17,17,1214,1256,1273,1159,835359.0
18,18,1207,1249,1259,1122,835359.0
19,19,1199,1254,1260,1131,835359.0
20,20,1481,1537,1554,1403,918708.0
21,21,1513,1560,1581,1433,918708.0
22,22,1490,1553,1569,1358,918708.0
23,23,1445,1499,1525,1334,918708.0
24,24,1430,1497,1514,1353,918708.0
25,25,1361,1422,1440,1306,918708.0
26,26,1294,1365,1390,1278,918708.0
27,27,1261,1333,1347,1217,918708.0
28,28,1173,1225,1252,1052,918708.0
29,29,1085,1125,1161,991,918708.0
30,30,1378,1430,1472,1307,1034030.0
31,31,1401,1460,1499,1269,1034030.0
32,32,1422,1481,1506,1322,1034030.0
33,33,1495,1549,1563,1390,1034030.0
34,34,1439,1469,1498,1358,1034030.0
35,35,1350,1418,1448,1243,1034030.0
36,36,1336,1383,1417,1233,1034030.0
37,37,1331,1376,1400,1217,1034030.0
38,38,1332,1372,1402,1260,1034030.0
39,39,1297,1352,1388,1250,1034030.0
40,40,1231,1297,1320,1121,810154.0
41,41,1259,1331,1360,1175,810154.0
42,42,1241,1328,1370,1149,810154.0
43,43,1290,1342,1366,1203,810154.0
44,44,1257,1300,1323,1165,810154.0
45,45,1174,1206,1226,1091,810154.0
46,46,1180,1192,1213,1109,810154.0
47,47,1124,1176,1189,1057,810154.0
48,48,1128,1180,1208,1071,810154.0
49,49,1119,1159,1175,1044,810154.0
50,50,1300,1335,1341,1195,976203.0
51,51,1301,1385,1389,1199,976203.0
52,52,1378,1435,1469,1275,976203.0
53,53,1373,1438,1470,1285,976203.0
54,54,1432,1476,1496,1338,976203.0
55,55,1463,1507,1532,1346,976203.0
56,56,1418,1468,1479,1342,976203.0
57,57,1321,1382,1387,1288,976203.0
58,58,1252,1294,1319,1237,976203.0
59,59,1261,1294,1315,1186,976203.0
60,60,1369,1443,1469,1286,1078320.0
61,61,1401,1452,1484,1309,1078320.0
62,62,1410,1458,1472,1312,1078320.0
63,63,1457,1501,1527,1336,1078320.0
64,64,1480,1550,1571,1352,1078320.0
65,65,1508,1569,1587,1429,1078320.0
66,66,1475,1519,1544,1457,1078320.0
67,67,1461,1510,1539,1428,1078320.0
68,68,1411,1491,1518,1351,1078320.0
69,69,1337,1395,1414,1282,1078320.0
70,70,1755,1831,1862,1710,1096990.0
71,71,1757,1807,1842,1690,1096990.0
72,72,1759,1807,1843,1679,1096990.0
73,73,1694,1741,1759,1623,1096990.0
74,74,1635,1682,1712,1578,1096990.0
75,75,1603,1674,1703,1538,1096990.0
76,76,1528,1604,1621,1465,1096990.0
77,77,1431,1501,1518,1358,1096990.0
78,78,1310,1364,1383,1234,1096990.0
79,79,1180,1235,1267,1092,1096990.0
80,80,1455,1536,1574,1389,1094310.0
81,81,1555,1603,1619,1456,1094310.0
82,82,1594,1649,1675,1460,1094310.0
83,83,1614,1663,1691,1489,1094310.0
84,84,1531,1587,1614,1480,1094310.0
85,85,1452,1511,1534,1435,1094310.0
86,86,1403,1467,1480,1363,1094310.0
87,87,1440,1508,1527,1386,1094310.0
88,88,1449,1506,1530,1392,1094310.0
89,89,1278,1351,1398,1217,1094310.0
90,90,1395,1468,1486,1254,809069.0
91,91,1406,1482,1499,1288,809069.0
92,92,1434,1492,1512,1318,809069.0
93,93,1412,1462,1475,1245,809069.0
94,94,1379,1416,1422,1223,809069.0
95,95,1325,1352,1357,1167,809069.0
96,96,1226,1259,1273,1151,809069.0
97,97,1200,1233,1249,1140,809069.0
98,98,1207,1253,1271,1139,809069.0
99,99,1197,1246,1264,1104,809069.0
100,100,1347,1401,1425,1271,927188.0
101,101,1377,1455,1478,1301,927188.0
102,102,1452,1510,1538,1356,927188.0
103,103,1500,1551,1575,1406,927188.0
104,104,1478,1517,1554,1398,927188.0
105,105,1442,1471,1491,1365,927188.0
106,106,1387,1415,1428,1371,927188.0
107,107,1392,1424,1443,1314,927188.0
108,108,1314,1352,1367,1236,927188.0
109,109,1225,1281,1300,1151,927188.0
110,110,1424,1479,1503,1371,1102090.0
111,111,1445,1516,1558,1371,1102090.0
112,112,1509,1550,1585,1435,1102090.0
113,113,1549,1590,1626,1473,1102090.0
114,114,1549,1596,1625,1470,1102090.0
115,115,1489,1523,1553,1419,1102090.0
116,116,1418,1459,1495,1368,1102090.0
117,117,1372,1418,1449,1310,1102090.0
118,118,1406,1454,1475,1297,1102090.0
119,119,1329,1380,1401,1226,1102090.0
120,120,1439,1513,1548,1297,1105850.0
121,121,1514,1598,1627,1411,1105850.0
122,122,1559,1607,1646,1445,1105850.0
123,123,1565,1596,1628,1447,1105850.0
124,124,1509,1555,1579,1405,1105850.0
125,125,1406,1487,1506,1342,1105850.0
126,126,1425,1473,1503,1362,1105850.0
127,127,1468,1519,1550,1406,1105850.0
128,128,1373,1411,1454,1293,1105850.0
129,129,1269,1326,1356,1172,1105850.0
130,130,1502,1585,1612,1443,1137890.0
131,131,1534,1601,1624,1451,1137890.0
132,132,1597,1649,1672,1492,1137890.0
133,133,1661,1695,1710,1542,1137890.0
134,134,1646,1696,1722,1536,1137890.0
135,135,1586,1637,1660,1525,1137890.0
136,136,1579,1634,1647,1528,1137890.0
137,137,1536,1605,1623,1484,1137890.0
138,138,1461,1516,1540,1407,1137890.0
139,139,1390,1444,1478,1341,1137890.0
140,140,1472,1536,1556,1425,1034262.1
141,141,1519,1584,1616,1473,1034262.1
142,142,1528,1555,1601,1465,1034262.1
143,143,1467,1495,1514,1367,1034262.1
144,144,1380,1410,1450,1334,1034262.1
145,145,1323,1366,1392,1265,1034262.1
146,146,1338,1384,1402,1258,1034262.1
147,147,1297,1353,1382,1244,1034262.1
148,148,1203,1266,1296,1145,1034262.1
149,149,1103,1161,1183,1002,1034262.1
150,150,1349,1421,1462,1250,994713.0
151,151,1401,1465,1490,1326,994713.0
152,152,1453,1512,1549,1362,994713.0
153,153,1475,1524,1540,1363,994713.0
154,154,1415,1452,1470,1316,994713.0
155,155,1338,1385,1412,1309,994713.0
156,156,1319,1370,1400,1268,994713.0
157,157,1312,1379,1416,1244,994713.0
158,158,1320,1367,1387,1228,994713.0
159,159,1174,1235,1258,1091,994713.0
160,160,1737,1785,1823,1658,1091440.0
161,161,1713,1760,1797,1601,1091440.0
162,162,1700,1750,1793,1626,1091440.0
163,163,1684,1752,1777,1608,1091440.0
164,164,1618,1687,1707,1538,1091440.0
165,165,1601,1643,1674,1531,1091440.0
166,166,1593,1643,1682,1518,1091440.0
167,167,1528,1575,1618,1460,1091440.0
168,168,1412,1467,1525,1364,1091440.0
169,169,1326,1373,1399,1258,1091440.0
170,170,1752,1801,1836,1670,1173530.0
171,171,1802,1856,1884,1710,1173530.0
172,172,1789,1843,1863,1697,1173530.0
173,173,1743,1805,1826,1627,1173530.0
174,174,1701,1746,1785,1610,1173530.0
175,175,1651,1717,1747,1603,1173530.0
176,176,1632,1679,1699,1567,1173530.0
177,177,1549,1612,1642,1485,1173530.0
178,178,1444,1506,1538,1390,1173530.0
179,179,1325,1374,1404,1249,1173530.0
180,180,1662,1728,1751,1530,1115710.0
181,181,1658,1712,1736,1543,1115710.0
182,182,1596,1649,1674,1494,1115710.0
183,183,1573,1615,1629,1462,1115710.0
184,184,1478,1526,1544,1368,1115710.0
185,185,1442,1506,1531,1364,1115710.0
186,186,1466,1515,1535,1353,1115710.0
187,187,1453,1503,1512,1345,1115710.0
188,188,1350,1422,1442,1292,1115710.0
189,189,1280,1353,1376,1197,1115710.0
190,190,1731,1832,1875,1662,1085484.4
191,191,1720,1789,1831,1669,1085484.4
192,192,1711,1764,1807,1633,1085484.4
193,193,1660,1732,1765,1578,1085484.4
194,194,1557,1627,1661,1488,1085484.4
195,195,1572,1627,1657,1510,1085484.4
196,196,1536,1604,1631,1462,1085484.4
197,197,1466,1509,1526,1405,1085484.4
198,198,1353,1416,1435,1290,1085484.4
199,199,1207,1248,1272,1152,1085484.4
200,200,1477,1520,1562,1442,972064.0
201,201,1545,1596,1623,1440,972064.0
202,202,1544,1596,1615,1474,972064.0
203,203,1498,1530,1560,1437,972064.0
204,204,1420,1443,1467,1390,972064.0
205,205,1332,1359,1382,1302,972064.0
206,206,1328,1366,1390,1283,972064.0
207,207,1265,1306,1325,1193,972064.0
208,208,1158,1202,1216,1111,972064.0
209,209,1064,1089,1106,971,972064.0
210,210,1484,1569,1601,1404,1056440.0
211,211,1512,1577,1599,1409,1056440.0
212,212,1529,1592,1616,1454,1056440.0
213,213,1588,1647,1675,1515,1056440.0
214,214,1603,1655,1674,1498,1056440.0
215,215,1586,1606,1622,1500,1056440.0
216,216,1452,1498,1533,1403,1056440.0
217,217,1362,1439,1478,1359,1056440.0
218,218,1376,1438,1475,1330,1056440.0
219,219,1334,1400,1434,1276,1056440.0
220,220,1704,1764,1817,1595,1215770.0
221,221,1679,1739,1776,1596,1215770.0
222,222,1567,1635,1650,1512,1215770.0
223,223,1515,1582,1616,1348,1215770.0
224,224,1382,1459,1524,1269,1215770.0
225,225,1363,1431,1454,1290,1215770.0
226,226,1329,1391,1412,1260,1215770.0
227,227,1350,1400,1421,1267,1215770.0
228,228,1326,1358,1396,1238,1215770.0
229,229,1335,1416,1440,1249,1215770.0
230,230,1650,1740,1774,1546,1113430.0
231,231,1644,1714,1735,1518,1113430.0
232,232,1630,1702,1722,1501,1113430.0
233,233,1595,1660,1665,1503,1113430.0
234,234,1547,1610,1632,1437,1113430.0
235,235,1494,1557,1596,1433,1113430.0
236,236,1522,1586,1614,1432,1113430.0
237,237,1460,1556,1582,1385,1113430.0
238,238,1393,1472,1500,1324,1113430.0
239,239,1289,1363,1395,1208,1113430.0
240,240,1621,1637,1671,1587,1002720.0
241,241,1589,1610,1648,1566,1002720.0
242,242,1591,1609,1616,1553,1002720.0
243,243,1528,1532,1550,1467,1002720.0
244,244,1439,1465,1478,1376,1002720.0
245,245,1432,1468,1484,1378,1002720.0
246,246,1388,1428,1453,1325,1002720.0
247,247,1309,1351,1365,1238,1002720.0
248,248,1220,1267,1292,1162,1002720.0
249,249,1114,1168,1207,1022,1002720.0
250,250,1418,1514,1533,1365,1025130.0
251,251,1445,1526,1550,1378,1025130.0
252,252,1476,1553,1570,1375,1025130.0
253,253,1541,1592,1615,1475,1025130.0
254,254,1530,1583,1600,1460,1025130.0
255,255,1491,1552,1575,1497,1025130.0
256,256,1471,1540,1562,1424,1025130.0
257,257,1382,1471,1500,1283,1025130.0
258,258,1275,1364,1388,1186,1025130.0
259,259,1197,1280,1313,1089,1025130.0
260,260,1444,1500,1528,1384,983808.5
261,261,1464,1490,1527,1397,983808.5
262,262,1433,1447,1473,1333,983808.5
263,263,1393,1418,1445,1262,983808.5
264,264,1339,1381,1391,1237,983808.5
265,265,1282,1286,1311,1229,983808.5
266,266,1226,1259,1275,1182,983808.5
267,267,1166,1212,1237,1116,983808.5
268,268,1185,1230,1254,1103,983808.5
269,269,1136,1193,1208,1070,983808.5
270,270,1537,1590,1608,1481,1070660.0
271,271,1589,1646,1663,1482,1070660.0
272,272,1597,1649,1672,1511,1070660.0
273,273,1555,1606,1620,1461,1070660.0
274,274,1474,1519,1531,1393,1070660.0
275,275,1418,1462,1494,1369,1070660.0
276,276,1422,1462,1487,1383,1070660.0
277,277,1391,1417,1452,1320,1070660.0
278,278,1297,1352,1382,1216,1070660.0
279,279,1189,1255,1287,1122,1070660.0
280,280,1535,1595,1608,1445,1109620.0
281,281,1594,1643,1665,1519,1109620.0
282,282,1576,1644,1680,1521,1109620.0
283,283,1584,1666,1703,1521,1109620.0
284,284,1567,1626,1653,1503,1109620.0
285,285,1516,1559,1582,1447,1109620.0
286,286,1424,1462,1486,1348,1109620.0
287,287,1393,1440,1474,1317,1109620.0
288,288,1382,1432,1456,1318,1109620.0
289,289,1381,1435,1450,1292,1109620.0
290,290,1650,1721,1747,1550,1081360.0
291,291,1661,1735,1752,1559,1081360.0
292,292,1700,1756,1764,1582,1081360.0
293,293,1682,1717,1747,1567,1081360.0
294,294,1672,1697,1721,1564,1081360.0
295,295,1598,1646,1672,1545,1081360.0
296,296,1533,1602,1618,1471,1081360.0
297,297,1495,1573,1591,1404,1081360.0
298,298,1423,1514,1533,1343,1081360.0
299,299,1324,1385,1426,1247,1081360.0
300,300,1564,1633,1659,1513,1093080.0
301,301,1541,1609,1627,1506,1093080.0
302,302,1524,1582,1621,1461,1093080.0
303,303,1506,1574,1633,1462,1093080.0
304,304,1445,1490,1528,1389,1093080.0
305,305,1371,1422,1436,1337,1093080.0
306,306,1322,1375,1401,1304,1093080.0
307,307,1220,1292,1339,1217,1093080.0
308,308,1221,1298,1320,1171,1093080.0
309,309,1245,1293,1315,1179,1093080.0
310,310,1325,1416,1411,1250,1097580.0
311,311,1425,1463,1472,1357,1097580.0
312,312,1470,1512,1526,1355,1097580.0
313,313,1467,1508,1552,1378,1097580.0
314,314,1538,1612,1617,1396,1097580.0
315,315,1568,1625,1649,1421,1097580.0
316,316,1544,1590,1626,1438,1097580.0
317,317,1490,1534,1555,1450,1097580.0
318,318,1436,1497,1531,1419,1097580.0
319,319,1414,1465,1509,1377,1097580.0
320,320,1496,1581,1623,1478,1012300.0
321,321,1563,1628,1662,1515,1012300.0
322,322,1556,1628,1633,1493,1012300.0
323,323,1565,1621,1626,1451,1012300.0
324,324,1521,1581,1588,1409,1012300.0
325,325,1448,1508,1525,1372,1012300.0
326,326,1367,1448,1461,1343,1012300.0
327,327,1382,1444,1466,1330,1012300.0
328,328,1337,1396,1423,1265,1012300.0
329,329,1245,1307,1328,1151,1012300.0
330,330,1638,1691,1709,1576,1061800.0
331,331,1629,1701,1721,1555,1061800.0
332,332,1655,1714,1716,1576,1061800.0
333,333,1628,1695,1706,1501,1061800.0
334,334,1593,1655,1670,1470,1061800.0
335,335,1540,1613,1628,1444,1061800.0
336,336,1519,1544,1566,1454,1061800.0
337,337,1514,1570,1590,1456,1061800.0
338,338,1437,1493,1525,1394,1061800.0
339,339,1340,1411,1436,1283,1061800.0
340,340,1500,1561,1601,1436,1036210.0
341,341,1498,1574,1605,1414,1036210.0
342,342,1554,1656,1696,1407,1036210.0
343,343,1639,1676,1716,1515,1036210.0
344,344,1577,1602,1618,1521,1036210.0
345,345,1503,1515,1545,1486,1036210.0
346,346,1482,1522,1564,1469,1036210.0
347,347,1484,1527,1578,1421,1036210.0
348,348,1384,1455,1478,1328,1036210.0
349,349,1266,1293,1316,1201,1036210.0
350,350,1450,1517,1532,1356,944633.0
351,351,1421,1473,1483,1336,944633.0
352,352,1400,1463,1485,1320,944633.0
353,353,1287,1359,1385,1221,944633.0
354,354,1277,1332,1354,1219,944633.0
355,355,1257,1314,1338,1152,944633.0
356,356,1265,1315,1343,1170,944633.0
357,357,1274,1321,1338,1209,944633.0
358,358,1199,1245,1273,1146,944633.0
359,359,1076,1135,1154,1005,944633.0
360,360,1289,1351,1391,1210,1014390.0
361,361,1330,1402,1437,1228,1014390.0
362,362,1341,1419,1457,1284,1014390.0
363,363,1380,1443,1467,1293,1014390.0
364,364,1445,1518,1523,1312,1014390.0
365,365,1454,1515,1526,1308,1014390.0
366,366,1430,1475,1491,1361,1014390.0
367,367,1349,1394,1404,1317,1014390.0
368,368,1313,1357,1395,1278,1014390.0
369,369,1297,1362,1378,1273,1014390.0
370,370,1635,1699,1718,1566,1094210.0
371,371,1622,1685,1707,1567,1094210.0
372,372,1553,1625,1632,1511,1094210.0
373,373,1486,1527,1556,1462,1094210.0
374,374,1443,1497,1520,1417,1094210.0
375,375,1469,1492,1515,1400,1094210.0
376,376,1405,1445,1491,1359,1094210.0
377,377,1314,1362,1398,1259,1094210.0
