,+10%,+20%,-20%,Original masks
0,1714,1669,1728,1738
1,1757,1727,1776,1776
2,1753,1711,1760,1762
3,1692,1671,1714,1717
4,1626,1617,1644,1645
5,1558,1535,1572,1576
6,1535,1499,1540,1547
7,1529,1491,1550,1556
8,1434,1409,1436,1438
9,1324,1288,1331,1332
10,1184,1190,1184,1186
11,1213,1211,1207,1221
12,1289,1282,1280,1284
13,1274,1278,1268,1287
14,1272,1277,1272,1270
15,1268,1270,1261,1270
16,1258,1250,1260,1251
17,1221,1216,1228,1214
18,1204,1203,1205,1207
19,1202,1200,1198,1199
20,1512,1480,1486,1481
21,1529,1505,1498,1513
22,1500,1488,1488,1490
23,1460,1440,1432,1445
24,1447,1424,1432,1430
25,1377,1354,1363,1361
26,1314,1291,1322,1294
27,1278,1260,1280,1261
28,1180,1166,1167,1173
29,1094,1080,1090,1085
30,1374,1347,1347,1378
31,1383,1347,1337,1401
32,1415,1397,1387,1422
33,1485,1455,1447,1495
34,1429,1396,1386,1439
35,1341,1318,1300,1350
36,1309,1279,1271,1336
37,1320,1297,1292,1331
38,1319,1282,1278,1332
39,1293,1240,1247,1297
40,1187,1179,1261,1231
41,1213,1203,1294,1259
42,1180,1166,1293,1241
43,1251,1230,1324,1290
44,1223,1185,1287,1257
45,1132,1123,1192,1174
46,1145,1133,1191,1180
47,1122,1113,1154,1124
48,1113,1103,1150,1128
49,1081,1063,1138,1119
50,1310,1301,1333,1300
51,1312,1314,1346,1301
52,1384,1373,1401,1378
53,1374,1361,1384,1373
54,1431,1417,1441,1432
55,1465,1456,1479,1463
56,1417,1411,1420,1418
57,1322,1315,1327,1321
58,1253,1242,1262,1252
59,1262,1255,1271,1261
60,1364,1365,1371,1369
61,1381,1387,1399,1401
62,1391,1392,1410,1410
63,1435,1442,1471,1457
64,1464,1469,1474,1480
65,1505,1508,1512,1508
66,1475,1473,1474,1475
67,1469,1470,1462,1461
68,1414,1415,1412,1411
69,1345,1345,1338,1337
70,1752,1735,1759,1755
71,1753,1733,1748,1757
72,1745,1721,1738,1759
73,1698,1674,1677,1694
74,1631,1623,1630,1635
75,1597,1575,1588,1603
76,1521,1503,1511,1528
77,1429,1407,1421,1431
78,1307,1287,1294,1310
79,1178,1161,1170,1180
80,1433,1403,1467,1455
81,1551,1531,1584,1555
82,1579,1551,1626,1594
83,1609,1602,1634,1614
84,1514,1486,1538,1531
85,1430,1420,1451,1452
86,1385,1372,1404,1403
87,1436,1408,1451,1440
88,1416,1395,1451,1449
89,1250,1206,1259,1278
90,1380,1359,1377,1395
91,1406,1398,1388,1406
92,1441,1421,1421,1434
93,1418,1418,1395,1412
94,1381,1396,1362,1379
95,1323,1316,1304,1325
96,1236,1236,1223,1226
97,1196,1183,1185,1200
98,1196,1190,1184,1207
99,1194,1184,1178,1197
100,1356,1358,1361,1347
101,1398,1390,1383,1377
102,1465,1461,1457,1452
103,1504,1505,1503,1500
104,1482,1478,1483,1478
105,1446,1447,1445,1442
106,1392,1388,1385,1387
107,1404,1402,1397,1392
108,1329,1322,1320,1314
109,1247,1242,1233,1225
110,1414,1397,1444,1424
111,1438,1402,1463,1445
112,1499,1454,1527,1509
113,1551,1515,1570,1549
114,1546,1535,1574,1549
115,1479,1467,1500,1489
116,1418,1391,1427,1418
117,1372,1340,1382,1372
118,1390,1349,1408,1406
