,+50%,+100%,+200%,-50%,Original masks,+700%
0,1730,1700,1684,1734,1738,1645
1,1769,1754,1745,1775,1776,1720
2,1757,1734,1724,1763,1762,1702
3,1702,1683,1683,1716,1717,1664
4,1635,1621,1628,1645,1645,1612
5,1570,1545,1540,1574,1576,1516
6,1539,1522,1500,1545,1547,1461
7,1533,1516,1498,1554,1556,1463
8,1431,1424,1417,1436,1438,1391
9,1328,1311,1288,1331,1332,1260
10,1184,1184,1167,1185,1186,1102
11,1221,1217,1211,1214,1221,1195
12,1283,1280,1262,1282,1284,1241
13,1287,1280,1257,1279,1287,1238
14,1271,1271,1249,1274,1270,1196
15,1273,1269,1264,1272,1270,1204
16,1251,1246,1236,1249,1251,1196
17,1213,1210,1207,1216,1214,1183
18,1203,1203,1219,1203,1207,1176
19,1199,1199,1207,1201,1199,1163
20,1350,1464,1349,1441,1481,1371
21,1364,1527,1352,1463,1513,1375
22,1327,1509,1302,1425,1490,1327
23,1354,1519,1352,1395,1445,1327
24,1348,1481,1355,1400,1430,1337
25,1353,1513,1332,1338,1361,1291
26,1299,1442,1290,1291,1294,1260
27,1251,1428,1256,1243,1261,1178
28,1102,1383,1088,1113,1173,1010
29,1004,1333,970,1040,1085,927
30,1349,1343,1329,1409,1378,1295
31,1348,1340,1324,1419,1401,1267
32,1390,1384,1349,1440,1422,1295
33,1452,1447,1419,1512,1495,1379
34,1394,1388,1380,1451,1439,1349
35,1313,1304,1291,1382,1350,1228
36,1289,1275,1258,1353,1336,1219
37,1301,1284,1272,1344,1331,1184
38,1292,1278,1286,1351,1332,1241
39,1252,1232,1242,1314,1297,1245
40,1256,1256,1212,1281,1231,1187
41,1281,1276,1252,1305,1259,1215
42,1273,1271,1228,1312,1241,1188
43,1302,1303,1283,1328,1290,1254
44,1268,1270,1251,1278,1257,1226
45,1187,1183,1162,1203,1174,1138
46,1183,1182,1174,1190,1180,1141
47,1139,1139,1131,1158,1124,1126
48,1151,1149,1123,1164,1128,1113
49,1134,1132,1117,1155,1119,1085
50,1173,1228,1228,1202,1300,1175
51,1185,1241,1238,1201,1301,1189
52,1253,1293,1293,1271,1378,1255
53,1287,1299,1301,1286,1373,1281
54,1338,1351,1350,1335,1432,1341
55,1345,1373,1374,1356,1463,1346
56,1329,1376,1375,1344,1418,1334
57,1276,1299,1295,1291,1321,1270
58,1218,1234,1233,1232,1252,1230
59,1173,1192,1193,1181,1261,1175
60,1342,1329,1326,1282,1369,1282
61,1360,1353,1335,1312,1401,1311
62,1368,1355,1327,1309,1410,1311
63,1446,1427,1385,1334,1457,1331
64,1445,1421,1391,1345,1480,1342
65,1475,1469,1464,1423,1508,1424
66,1448,1452,1461,1454,1475,1454
67,1433,1432,1423,1428,1461,1427
68,1360,1350,1370,1350,1411,1350
69,1306,1292,1292,1280,1337,1280
70,1748,1733,1739,1745,1755,1703
71,1739,1735,1738,1739,1757,1678
72,1731,1716,1702,1733,1759,1664
73,1676,1671,1664,1675,1694,1606
74,1630,1611,1614,1632,1635,1563
75,1583,1570,1569,1588,1603,1544
76,1507,1498,1488,1513,1528,1457
77,1420,1404,1394,1421,1431,1347
78,1291,1282,1274,1293,1310,1219
79,1171,1155,1143,1170,1180,1084
80,1433,1429,1410,1423,1455,1403
81,1542,1539,1527,1537,1555,1472
82,1582,1557,1546,1558,1594,1481
83,1610,1607,1599,1602,1614,1508
84,1520,1512,1488,1507,1531,1478
85,1443,1432,1412,1432,1452,1434
86,1397,1386,1383,1385,1403,1371
87,1440,1429,1423,1427,1440,1395
88,1435,1411,1405,1411,1449,1399
89,1264,1254,1235,1254,1278,1222
90,1371,1386,1358,1392,1395,1312
91,1379,1397,1372,1409,1406,1322
92,1414,1422,1401,1426,1434,1341
93,1373,1392,1348,1406,1412,1277
94,1355,1373,1340,1379,1379,1258
95,1288,1309,1271,1323,1325,1215
96,1207,1212,1203,1225,1226,1170
97,1186,1194,1180,1199,1200,1147
98,1187,1198,1183,1207,1207,1156
99,1170,1188,1167,1196,1197,1126
100,1345,1329,1310,1359,1347,1278
101,1373,1355,1341,1400,1377,1306
102,1437,1443,1413,1469,1452,1354
103,1495,1495,1473,1504,1500,1419
104,1483,1470,1462,1480,1478,1408
