,Unnamed: 0,Original masks,+40%,+60%,-40%
0,0,1738,1799,1852,1617
1,1,1776,1817,1833,1676
2,2,1762,1810,1819,1631
3,3,1717,1775,1783,1616
4,4,1645,1684,1702,1544
5,5,1576,1619,1637,1492
6,6,1547,1620,1649,1468
7,7,1556,1626,1651,1446
8,8,1438,1514,1563,1379
9,9,1332,1411,1437,1269
10,10,1186,1227,1247,1059
11,11,1221,1255,1298,1170
12,12,1284,1328,1369,1231
13,13,1287,1318,1340,1227
14,14,1270,1326,1345,1170
15,15,1270,1322,1337,1167
16,16,1251,1304,1328,1182
17,17,1214,1256,1273,1159
18,18,1207,1249,1259,1122
19,19,1199,1254,1260,1131
20,20,1481,1537,1554,1403
21,21,1513,1560,1581,1433
22,22,1490,1553,1569,1358
23,23,1445,1499,1525,1334
24,24,1430,1497,1514,1353
25,25,1361,1422,1440,1306
26,26,1294,1365,1390,1278
27,27,1261,1333,1347,1217
28,28,1173,1225,1252,1052
29,29,1085,1125,1161,991
30,30,1378,1430,1472,1307
31,31,1401,1460,1499,1269
32,32,1422,1481,1506,1322
33,33,1495,1549,1563,1390
34,34,1439,1469,1498,1358
35,35,1350,1418,1448,1243
36,36,1336,1383,1417,1233
37,37,1331,1376,1400,1217
38,38,1332,1372,1402,1260
39,39,1297,1352,1388,1250
40,40,1231,1297,1320,1121
41,41,1259,1331,1360,1175
42,42,1241,1328,1370,1149
43,43,1290,1342,1366,1203
44,44,1257,1300,1323,1165
45,45,1174,1206,1226,1091
46,46,1180,1192,1213,1109
47,47,1124,1176,1189,1057
48,48,1128,1180,1208,1071
49,49,1119,1159,1175,1044
50,50,1300,1335,1341,1195
51,51,1301,1385,1389,1199
52,52,1378,1435,1469,1275
53,53,1373,1438,1470,1285
54,54,1432,1476,1496,1338
55,55,1463,1507,1532,1346
56,56,1418,1468,1479,1342
57,57,1321,1382,1387,1288
58,58,1252,1294,1319,1237
59,59,1261,1294,1315,1186
60,60,1369,1443,1469,1286
61,61,1401,1452,1484,1309
62,62,1410,1458,1472,1312
63,63,1457,1501,1527,1336
64,64,1480,1550,1571,1352
65,65,1508,1569,1587,1429
66,66,1475,1519,1544,1457
67,67,1461,1510,1539,1428
68,68,1411,1491,1518,1351
69,69,1337,1395,1414,1282
70,70,1755,1831,1862,1710
71,71,1757,1807,1842,1690
72,72,1759,1807,1843,1679
73,73,1694,1741,1759,1623
74,74,1635,1682,1712,1578
75,75,1603,1674,1703,1538
76,76,1528,1604,1621,1465
77,77,1431,1501,1518,1358
78,78,1310,1364,1383,1234
79,79,1180,1235,1267,1092
80,80,1455,1536,1574,1389
81,81,1555,1603,1619,1456
82,82,1594,1649,1675,1460
83,83,1614,1663,1691,1489
84,84,1531,1587,1614,1480
85,85,1452,1511,1534,1435
86,86,1403,1467,1480,1363
87,87,1440,1508,1527,1386
88,88,1449,1506,1530,1392
89,89,1278,1351,1398,1217
90,90,1395,1468,1486,1254
